clientid,EventProcessedUtcTime,contouren,afwijking,voorgrond,beweging,helderheid,richting,leftoutcounter,rightoutcounter,objecten,leftcounter,rightcounter,upcounter,downcounter,undeterminedcounter
CAM??,2018-03-31T02:14:15.8544204Z,100,213,76,7,1,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:13:53.7272988Z,106,250,66,92,5,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:12.7450193Z,130,249,62,1,10,heading: <-,0,0, 4,1,0,0,0,3
CAM??,2018-03-31T02:14:15.7294190Z,134,249,59,4,10,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:12.8095291Z,87,197,72,4,0,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:12.8544002Z,83,200,72,22,0,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:12.9325194Z,99,215,69,92,1,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:13:53.6647752Z,143,239,63,48,5,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:12.9794131Z,149,255,64,42,4,UNDETERMINED,0,0, 2,0,0,0,0,2
CAM??,2018-03-31T02:14:15.8075458Z,120,230,70,14,0,heading: <-,0,0, 2,1,0,0,0,1
CAM??,2018-03-31T02:14:15.8544204Z,98,225,71,29,2,heading: v,0,0, 2,0,0,0,1,1
CAM??,2018-03-31T02:13:53.7272988Z,137,292,60,7,13,heading: v,0,0, 2,0,0,0,1,1
CAM??,2018-03-31T02:14:12.7450193Z,102,241,68,19,4,heading: v,0,0, 2,0,0,0,1,1
CAM??,2018-03-31T02:14:15.7294190Z,62,192,78,18,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:12.8095291Z,77,180,77,18,0,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:12.8544002Z,106,209,69,46,3,UNDETERMINED,0,0, 3,0,0,0,0,3
CAM??,2018-03-31T02:14:12.9325194Z,175,283,60,51,10,UNDETERMINED,0,0, 4,0,0,0,0,4
CAM??,2018-03-31T02:13:53.6647752Z,169,280,61,33,6,UNDETERMINED,0,0, 3,0,0,0,0,3
CAM??,2018-03-31T02:14:12.9794131Z,115,245,74,40,1,heading: v,0,0, 2,0,0,0,1,1
CAM??,2018-03-31T02:14:15.8075458Z,108,217,78,42,0,heading: v,0,0, 2,0,0,0,1,1
CAM??,2018-03-31T02:14:15.8544204Z,122,235,72,43,1,heading: v,0,0, 2,0,0,0,1,1
CAM??,2018-03-31T02:13:53.7272988Z,158,252,59,27,5,UNDETERMINED,0,0, 2,0,0,0,0,2
CAM??,2018-03-31T02:14:12.7450193Z,159,263,61,56,7,UNDETERMINED,0,0, 3,0,0,0,0,3
CAM??,2018-03-31T02:14:15.7294190Z,115,245,70,15,2,heading: v,0,0, 4,0,0,0,1,3
CAM??,2018-03-31T02:14:12.8095291Z,111,234,72,12,1,heading: v,0,0, 2,0,0,0,1,1
CAM??,2018-03-31T02:14:12.8544002Z,145,258,58,0,10,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:12.9325194Z,109,236,66,25,4,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:15.8075458Z,73,194,79,16,0,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:15.8544204Z,62,186,80,31,0,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:13:53.7272988Z,14,177,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:12.7450193Z,112,240,65,37,7,UNDETERMINED,0,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:15.7294190Z,7,167,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:12.8095291Z,153,272,57,36,13,UNDETERMINED,0,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:12.8544002Z,7,185,97,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
