type,clientid,EventProcessedUtcTime,anon_mac,probe_count,avg_rssi
DENS,Dens09,2018-03-31T02:14:12.8544002Z,fc761a,1,-82.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,7b0d17,1,-86.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,95bc23,5,-85.60
DENS,Dens09,2018-03-31T02:14:12.8544002Z,512c46,3,-87.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,947b25,1,-83.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,6def31,3,-87.33
DENS,Dens09,2018-03-31T02:14:12.8544002Z,43b37f,1,-83.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,8faad1,1,-91.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,a924ec,2,-81.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,b7691c,1,-88.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,a3f2f3,3,-78.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,4db02b,1,-96.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,b449d9,2,-84.50
DENS,Dens09,2018-03-31T02:14:12.8544002Z,b8c733,1,-90.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,31fa05,1,-90.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,e44be4,34,-78.12
DENS,Dens09,2018-03-31T02:14:12.8544002Z,d6c1ea,1,-93.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,4083ab,3,-94.33
DENS,Dens09,2018-03-31T02:14:12.8544002Z,18f86a,4,-86.50
DENS,Dens09,2018-03-31T02:14:12.8544002Z,89bc85,2,-94.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,25fa93,1,-82.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,bb2d74,3,-94.33
DENS,Dens09,2018-03-31T02:14:12.8544002Z,0b4b1f,1,-73.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,0ebff6,2,-90.50
DENS,Dens09,2018-03-31T02:14:12.8544002Z,bad6ab,1,-96.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,cdc2a8,1,-97.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,c1c4ac,1,-90.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,26e5b6,1,-85.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,9225c0,1,-93.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,d9ac2f,1,-89.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,d97476,1,-93.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,215359,1,-93.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,3dae2e,1,-93.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,cc0ff7,1,-84.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,6a581e,2,-91.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,79f2c0,1,-91.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,edaf56,1,-89.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,2dbc11,1,-88.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,c30360,2,-79.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,3a60a7,1,-89.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,cf1891,2,-90.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,490e68,3,-80.33
DENS,Dens09,2018-03-31T02:14:12.8544002Z,7789de,1,-94.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,4e2d57,1,-92.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,f1f884,1,-90.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,95dde7,1,-89.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,3dff92,2,-83.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,ab1f1e,6,-87.67
DENS,Dens09,2018-03-31T02:14:12.8544002Z,8b9382,1,-79.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,fdf039,1,-94.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,2bb29e,1,-79.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,fd60f0,2,-90.50
DENS,Dens09,2018-03-31T02:14:12.8544002Z,67fc2e,2,-81.50
DENS,Dens09,2018-03-31T02:14:12.8544002Z,4b5a4c,2,-87.50
DENS,Dens09,2018-03-31T02:14:12.8544002Z,bafce7,1,-92.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,f1167f,1,-83.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,692e43,1,-94.00
DENS,Dens09,2018-03-31T02:14:12.8544002Z,280a45,3,-78.33
DENS,Dens09,2018-03-31T02:14:12.8544002Z,f9e6dc,1,-85.00
